run_at,date,time,country,collection,category,rank,prev_rank,change,app_id,title,score,developer
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,8,9,+1,com.rioo.runnersubway,Subway Princess Runner,4.02,Ivy
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,9,8,-1,com.imangi.templerun2,Temple Run 2: Endless Escape,4.06,Imangi Studios
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,10,12,+2,com.Rohit.IndianBikes,Indian Bikes Driving 3D,4.17,Rohit Gaming Studio
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,11,10,-1,com.oakever.arrows,Amaze GO!,4.39,Oakever Games
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,12,11,-1,com.ecffri.arrows,Arrows – Puzzle Escape,4.58,Lessmore GmbH
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,13,13,0,com.casuper.arrow,Cash Arrows,4.56,StatusWorld
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,14,14,0,com.snake.io.slither.worms,Snake Lite® - Worm Snake Game,3.99,Hippo Lab
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,15,16,+1,io.voodoo.paper2,Paper.io 2,4.3,VOODOO
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,16,15,-1,com.king.candycrushsaga,Candy Crush Saga,4.45,King
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,17,18,+1,com.roblox.client,Roblox,4.59,Roblox Corporation
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,18,20,+2,com.ANGamingStudio.IndianVehiclesSimulator3d,Indian Vehicles Simulator 3d,4.28,AN Gaming Studio
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,19,17,-2,com.vincentb.MobControl,Mob Control,4.11,VOODOO
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,20,22,+2,com.rubygames.assassin,Hunter Assassin,4.06,Ruby Games AS
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,21,25,+4,com.craft.city.blockbuilder.pro,Craft Explore: Block Builder,3.96,Appsgrooves
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,22,19,-3,com.kiloo.subwaysurf,Subway Surfers,4.42,SYBO Games
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,23,,NEW,com.ansangha.drdriving,Dr. Driving,4.26,SUD Inc.
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,24,24,0,com.miniclip.cricketleague,Cricket League,4.53,Miniclip.com
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,TOP_FREE,GAME,25,,NEW,com.fingersoft.hillclimb,Hill Climb Racing,4.03,Fingersoft
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,1,1,0,com.dts.freefiremax,Free Fire MAX,4.34,GARENA INTERNATIONAL I
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,2,2,0,com.pubg.imobile,BGMI: FPS Battle Royale,4.36,"KRAFTON, Inc."
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,3,4,+1,com.king.candycrushsaga,Candy Crush Saga,4.45,King
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,4,3,-1,com.moonactive.coinmaster,Coin Master,4.58,Moon Active
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,5,5,0,com.roblox.client,Roblox,4.59,Roblox Corporation
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,6,6,0,jp.konami.pesam,eFootball™,4.47,KONAMI
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,7,8,+1,com.ea.gp.fifamobile,EA SPORTS FC Soccer Mobile 26,4.3,ELECTRONIC ARTS
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,8,7,-1,com.octro.teenpatti,Octro Teen Patti: 3 Patti Game,4.57,"Octro, Inc."
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,9,9,0,com.run.tower.defense,Kingshot,4.34,Century Games PTE. LTD.
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,10,10,0,com.monopoly.dream.idle.king,Top Tycoon: Coin Theme Empire,4.76,BeheFun Games Limited
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,11,11,0,com.playrix.gardenscapes,Gardenscapes,4.52,Playrix
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,12,12,0,com.supercell.clashofclans,Clash of Clans,4.5,Supercell
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,13,18,+5,com.nianticlabs.pokemongo,Pokémon GO,4.07,"Scopely Explore, Inc."
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,14,16,+2,com.teenpatti.hd.gold,Teen Patti GOLD: 3 Patti Rummy,4.33,Moonfrog
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,15,13,-2,io.randomco.travel,Travel Town - Merge Adventure,4.25,Magmatic Games LTD
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,16,15,-1,com.mobiin.gp,Moba Legends: 5v5!,3.73,Vizta Games
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,17,17,0,com.playrix.township,Township,4.68,Playrix
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,18,20,+2,com.dreamgames.royalmatch,Royal Match,4.44,"Dream Games, Ltd."
2026-07-26 21:12:45 IST,2026-07-26,21:12,IN,GROSSING,GAME,19,21,+2,com.activision.callofduty.shooter,Call of Duty®: Mobile,4.25,"Activision Publishing, Inc."
